ชื่อย่อ,Company Name,ชื่อบริษัท,กลุ่มอุตสาหกรรม,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
CHO,CHO THAVEE PUBLIC COMPANY LIMITED,บริษัท ช ทวี จำกัด (มหาชน),Industrials,,,,,,Yes,Yes,Yes,Yes,Yes
CK,CH. KARNCHANG PUBLIC COMPANY LIMITED,บริษัท ช.การช่าง จำกัด (มหาชน),Property & Construction,AA,A,,Yes,Yes,,Yes,,,
CKP,CK POWER PUBLIC COMPANY LIMITED,บริษัท ซีเค พาวเวอร์ จำกัด (มหาชน),Resources,AAA,AAA,Yes,Yes,Yes,,,,,
CM,CHIANGMAI FROZEN FOODS PUBLIC COMPANY LIMITED,บริษัท เชียงใหม่โฟรเซ่นฟู้ดส์ จำกัด (มหาชน),Agro & Food Industry,A,,Yes,,Yes,,,,,
COLOR,SALEE COLOUR PUBLIC COMPANY LIMITED,บริษัท สาลี่ คัลเล่อร์ จำกัด (มหาชน),Industrials,A,A,Yes,Yes,Yes,Yes,,,,
COM7,COM7 PUBLIC COMPANY LIMITED,บริษัท คอมเซเว่น จำกัด (มหาชน),Services,AA,A,Yes,Yes,,,,,,
COTTO,SCG CERAMICS PUBLIC COMPANY LIMITED,บริษัท เอสซีจี เซรามิกส์ จำกัด (มหาชน),Property & Construction,,,Yes,,,,,,,
CPALL,CP ALL PUBLIC COMPANY LIMITED,บริษัท ซีพี ออลล์ จำกัด (มหาชน),Services,AAA,AAA,Yes,Yes,Yes,Yes,Yes,,,
CPAXT,CP AXTRA PUBLIC COMPANY LIMITED,บริษัท ซีพี แอ็กซ์ตร้า จำกัด (มหาชน),Services,AA**,AAA,,,,,,,,
CPF,CHAROEN POKPHAND FOODS PUBLIC COMPANY LIMITED,บริษัท เจริญโภคภัณฑ์อาหาร จำกัด (มหาชน),Agro & Food Industry,AAA,AAA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CPN,CENTRAL PATTANA PUBLIC COMPANY LIMITED,บริษัท เซ็นทรัลพัฒนา จำกัด (มหาชน),Property & Construction,AAA,AA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CRC,CENTRAL RETAIL CORPORATION PUBLIC COMPANY LIMITED,บริษัท เซ็นทรัล รีเทล คอร์ปอเรชั่น จำกัด (มหาชน),Services,AA,AAA,Yes,Yes,,,,,,
CSC,CROWN SEAL PUBLIC COMPANY LIMITED,บริษัท ฝาจีบ จำกัด (มหาชน),Industrials,,BBB,,Yes,,,,,,
CSL,CS LOXINFO PUBLIC COMPANY LIMITED,บริษัท ซีเอส ล็อกซอินโฟ จำกัด (มหาชน),Technology,,,,,,,,Yes,,
DELTA,DELTA ELECTRONICS (THAILAND) PUBLIC COMPANY LIMITED,บริษัท เดลต้า อีเลคโทรนิคส์ (ประเทศไทย) จำกัด (มหาชน),Technology,A,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes
DEMCO,DEMCO PUBLIC COMPANY LIMITED,บริษัท เด็มโก้ จำกัด (มหาชน),Resources,BBB,A,Yes,,,,,,,
DITTO,DITTO (THAILAND) PUBLIC COMPANY LIMITED,บริษัท ดิทโต้ (ประเทศไทย) จำกัด (มหาชน),Technology,AAA,,,,,,,,,
DMT,DON MUANG TOLLWAY PUBLIC COMPANY LIMITED,บริษัท ทางยกระดับดอนเมือง จำกัด (มหาชน),Services,AA,A,Yes,,,,,,,
DRT,DIAMOND BUILDING PRODUCTS PUBLIC COMPANY LIMITED,บริษัท ผลิตภัณฑ์ตราเพชร จำกัด (มหาชน),Property & Construction,AA,AA,Yes,Yes,Yes,Yes,Yes,Yes,,
EA,ENERGY ABSOLUTE PUBLIC COMPANY LIMITED,บริษัท พลังงานบริสุทธิ์ จำกัด (มหาชน),Resources,,,Yes,Yes,Yes,Yes,Yes,,,
EASTW,EASTERN WATER RESOURCES DEVELOPMENT AND MANAGEMENT PUBLIC COMPANY LIMITED,บริษัท จัดการและพัฒนาทรัพยากรน้ำภาคตะวันออก จำกัด (มหาชน),Resources,AA,AA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
EGCO,ELECTRICITY GENERATING PUBLIC COMPANY LIMITED,บริษัท ผลิตไฟฟ้า จำกัด (มหาชน),Resources,AA,AA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
EPG,EASTERN POLYMER GROUP PUBLIC COMPANY LIMITED,บริษัท อีสเทิร์นโพลีเมอร์ กรุ๊ป จำกัด (มหาชน),Property & Construction,AA,AA,Yes,Yes,,,,,,
ERW,THE ERAWAN GROUP PUBLIC COMPANY LIMITED,บริษัท ดิ เอราวัณ กรุ๊ป จำกัด (มหาชน),Services,,A,,,,,,,,
ETC,EARTH TECH ENVIRONMENT PUBLIC COMPANY LIMITED,บริษัท เอิร์ธ เท็ค เอนไวรอนเมนท์ จำกัด (มหาชน),Resources,AA,AA,Yes,,,,,,,
FPI,FORTUNE PARTS INDUSTRY PUBLIC COMPANY LIMITED,บริษัท ฟอร์จูน พาร์ท อินดัสตรี้ จำกัด (มหาชน),Industrials,AA,AA,,,Yes,Yes,Yes,Yes,,
FPT,FRASERS PROPERTY (THAILAND) PUBLIC COMPANY LIMITED,บริษัท เฟรเซอร์ส พร็อพเพอร์ตี้ (ประเทศไทย) จำกัด (มหาชน),Property & Construction,AA,AA,Yes,Yes,Yes,,,,,
GABLE,G-ABLE PUBLIC COMPANY LIMITED,บริษัท จีเอเบิล จำกัด (มหาชน),Technology,BBB,,,,,,,,,
GCAP,G CAPITAL PUBLIC COMPANY LIMITED,บริษัท จี แคปปิตอล จำกัด (มหาชน),Financials,A,BBB,,Yes,Yes,,,Yes,Yes,Yes
GFPT,GFPT PUBLIC COMPANY LIMITED,บริษัท จีเอฟพีที จำกัด (มหาชน),Agro & Food Industry,,BBB,Yes,Yes,Yes,Yes,Yes,Yes,,
GGC,GLOBAL GREEN CHEMICALS PUBLIC COMPANY LIMITED,บริษัท โกลบอลกรีนเคมิคอล จำกัด (มหาชน),Industrials,,,,,Yes,Yes,,,,
GLOBAL,SIAM GLOBAL HOUSE PUBLIC COMPANY LIMITED,บริษัท สยามโกลบอลเฮ้าส์ จำกัด (มหาชน),Services,AA,AA,Yes,Yes,,,,,,
GPSC,GLOBAL POWER SYNERGY PUBLIC COMPANY LIMITED,บริษัท โกลบอล เพาเวอร์ ซินเนอร์ยี่ จำกัด (มหาชน),Resources,AAA,AA,Yes,Yes,Yes,Yes,,Yes,,
GULF,GULF DEVELOPMENT PUBLIC COMPANY LIMITED,บริษัท กัลฟ์ ดีเวลลอปเมนท์ จำกัด (มหาชน),Resources,AAA,AA,Yes,Yes,Yes,Yes,,,,
GUNKUL,GUNKUL ENGINEERING PUBLIC COMPANY LIMITED,บริษัท กันกุลเอ็นจิเนียริ่ง จำกัด (มหาชน),Resources,AA,AA,Yes,Yes,,,,,,
HANA,HANA MICROELECTRONICS PUBLIC COMPANY LIMITED,บริษัท ฮานา ไมโครอิเล็คโทรนิคส จำกัด (มหาชน),Technology,AA,AA,Yes,Yes,Yes,,,,,
HARN,HARN ENGINEERING SOLUTIONS PUBLIC COMPANY LIMITED,บริษัท หาญ เอ็นจิเนียริ่ง โซลูชั่นส์ จำกัด (มหาชน),Industrials,A,,,,,,,,,
